category,filename,width,height,mode,sha256,meaningful_edge_pixels
fauna,Chameleon.png,440,440,RGBA,7d837f9f1766a13f2d464afb5c785e6d1f02957b1c3b2f75efd3c48e76431e16,1760
fauna,Chamois.png,440,440,RGBA,b704a9aa95362e5e65f5ccd8ae3e9aaa9517280eb64710329febbd5f9fdd1aaa,1760
fauna,Char.png,440,440,RGBA,b413564b677103b29d9c98ce54017de67dbc2d6cd488fb03f5a9c4ba70e6814b,1760
fauna,Cheetah.png,440,440,RGBA,b79943773e443bf87ac8e1ca769d7496eb7f362541a1a0cdc730d4c93524007e,1760
fauna,Chicken.png,440,440,RGBA,76d47a9e979eae30c5c3552a2775bbf7c6c2af80d5869ff00a99579cfc6642f8,1760
fauna,Chimpanzee.png,440,440,RGBA,cb98fe66d70e2ea018b7360b7a65e3a5d373123b7008de6717eb374bae006c43,1760
fauna,Chipmunk.png,440,440,RGBA,b623c0ac59cded9931b919cf20d024ef4cdcef11a0a9a6385ccc8be9b38c0589,1760
fauna,Chiton.png,440,440,RGBA,91c5118fb6e93420967a452f4079292d77d9477b58eda52c3e3d3c61ad9a55b5,1760
fauna,Chough.png,440,440,RGBA,c51664c3629cc5209c157d62c47e0462e4b2e1ed1cdc36f5390a93a89004b57c,1760
fauna,Cicada.png,440,440,RGBA,dbefccba765dde3760df4d87c1374fae534eaf3c7f3ed6c1726212c6544072e9,1760
fauna,Cichlid.png,440,440,RGBA,5008ebe0e7cd7d52883a2d501dc9276af630fc912125c30a799bb7948f219f89,1760
fauna,Civet.png,440,440,RGBA,5917b09cdb30b703a599b262774fe0b7ac93ff5151a33147821583410ab18b68,1760
fauna,Clam.png,440,440,RGBA,af558148fe5a6236f8e751f835361c6208696b284ed4a8f86cf799c8425126d7,1760
fauna,Clouded_Leopard.png,440,440,RGBA,0c2ac721661f70f91f623652e940ff1250dd4a28cae7274e1ef5a8cd52a041be,1760
fauna,Clownfish.png,440,440,RGBA,86384c06ea36b3b08af2bf45f625db84391fa169d4a1ad33262afb78cd298e6d,1760
fauna,Coastal_Lizard.png,440,440,RGBA,fa0d4c624d2c396052631df8c683f10df7fa818f821b396ba8cb02cdec6d2761,1760
fauna,Coati.png,440,440,RGBA,67f0f58e413571bc8fee2286b054bf30f8b6d4a41bd4af342f360410f81ee596,1760
fauna,Cobra.png,440,440,RGBA,ce3d4478b24a8f7f7115dd7daa9789a72875f6d1fa69f30ce0fec159ab9efe87,1760
fauna,Cockatoo.png,440,440,RGBA,5b4f5471d053bd124b152283d8f490fb09e52956aa252efd12ab4655e04b993d,1760
fauna,Cockroach.png,440,440,RGBA,68059aad3be7431268cd8c4e06902bba540801b5f24c414946059a9565aba9aa,1760
fauna,Coconut_Crab.png,440,440,RGBA,30741b2086cd327cebb40ebaad5b209d4a6ad5606b9337ebbae7f94991f9a2dc,1760
fauna,Cod.png,440,440,RGBA,b4d9fbcdcb7ba7c17405885646a33a8be181fdd7a240fd86986e9868885c2371,1760
fauna,Coelacanth.png,440,440,RGBA,03a7e7f3f0776ba11a1ccb5e0e5e7b7ccc3eaafd50c3e41cda3e0640b4df5a03,1760
fauna,Cold-Adapted_Insect.png,440,440,RGBA,6e4ff171f4055f3a71a806f0a3da383a8b3e602af832f52d1442254a5dc94485,1760
fauna,Cold-Water_Coral.png,440,440,RGBA,a9c33bd3babdc62432c0fec7f57627edea5fe0e684abc58851eab6e1d01f596e,1760
fauna,Cold-Water_Fish.png,440,440,RGBA,238271e4bbedf690fd3a64091aa0ba7707b9dbca88ab5aab3d1f3fb54bfe00b6,1760
fauna,Colugo.png,440,440,RGBA,c99e033ad9a8dca9c1aadce71490925f826ced211613bec7587be0b90f4d4f29,1760
fauna,Comb_Jelly.png,440,440,RGBA,c53b4a1ae84ee83d5bbeaee59437dd1325716e5c0c1c0dbed79e5b0a71342eb8,1760
fauna,Conch.png,440,440,RGBA,6cba5d41c882f81ba3df5d13e6c4402a47713ebff6af988ab7525ade9445de09,1760
fauna,Condor.png,440,440,RGBA,51df682aca7aeaf80a8dab618800640f445d8bd5bc18215b957f2c736bdd896f,1760
fauna,Coot.png,440,440,RGBA,b812f756ee651748d9c874bac74fb632c969131c4657fdc0b190817021de5510,1760
fauna,Copepod.png,440,440,RGBA,3e329dc9c59c163321651b2b9f9761eb9d75e93a862c4b5c50ab3ffe54b04900,1760
fauna,Coral.png,440,440,RGBA,41b02733440732c64877d6a2161fc33ad7870212b5a2857f8eabc7e825320628,1760
fauna,Cormorant.png,440,440,RGBA,887c15a37e6b87db2323aeacbd940afeb69210a545aca98ae4bf06482257cef0,1760
fauna,Cottonmouth.png,440,440,RGBA,d61676a97d21f9539f823fa602b88ddd34b50dfe39bc30b8a1812aba7f624143,1760
fauna,Cougar.png,440,440,RGBA,ca442564482aaba62bc5962e4b9523cade2b110435e6edf3078dde1c1c588f40,1760
fauna,Cow.png,440,440,RGBA,8228dc5c236c5d9b59067251b0135eb088eda4311d614d582b3f82924ed9d462,1760
fauna,Cowrie.png,440,440,RGBA,e506417961d433f8d58ee8783a035aeecc560bde7d67c183d71e7ee3c0b6bbb3,1760
fauna,Coyote.png,440,440,RGBA,b8dffde3f488a46ca4f5f580cf17ddfa4636b53760445913437f19f20ebd7f44,1760
fauna,Crab.png,440,440,RGBA,ef70c1829a45055117cffd07a0965585dd1db3921e89124effcf74a1eaf00ce5,1760
fauna,Crane.png,440,440,RGBA,42a8e84c888d24baa31a09731e75b5441f2a4a580dd93690e7e7ba8d051db51c,1760
fauna,Crayfish.png,440,440,RGBA,eb9c469ccc2ca2921bbea8d1c7e7d0427e140c38bd55b27ff542d9cb025c3dca,1760
fauna,Cricket.png,440,440,RGBA,c145195310bc7799968b6fe844dbf96a4a54cf359127a8ffbf92d239cb161f56,1760
fauna,Crocodile.png,440,440,RGBA,1979a0a1c72fcfed173643528a9e8d9f6fc6d151086141e31d28dc59513d03d1,1760
fauna,Crow.png,440,440,RGBA,804b6d6f2faa2817e800c6cdf7861c17619097b0866245bdbbbc6568864a2f02,1760
fauna,Curlew.png,440,440,RGBA,22ea4193e427f180b6f71450089d8a2e0752d604ca623808fd17f477e313027a,1760
fauna,Cuttlefish.png,440,440,RGBA,b5494df91d21b5282c92ea2723e9c034d7296962e36c25819b7bdf1c5d77c62f,1760
fauna,Damselfish.png,440,440,RGBA,d9aea64b2df6d195b521f96f88c8f68bc51a161c44d5df2a33a7d90c789f538c,1760
fauna,Damselfly.png,440,440,RGBA,0be788360714373fc7231ce96d985d5ad8f2ae05f4647ff3d949e441e1680644,1760
fauna,Deep-Sea_Fish.png,440,440,RGBA,25b8ade947562e40e9d33a96ab74b1fe5e1c3262d06d2b37118d51a9d68c803f,1760
fauna,Deep-Sea_Octopus.png,440,440,RGBA,6017692e1af4a4cb3b362dffcd2ba115d0b126a737fc5da3a1faa6ea1337a437,1760
fauna,Deep-Water_Coral.png,440,440,RGBA,6c65384623dbbb8bfc7e100ae422a7b10b6e942491af3d69e4bf7ffc8e83f86d,1760
fauna,Deer.png,440,440,RGBA,71599e7101145954339e46b721024424c5e82a20e8dbeb819cc8295ea1c274d8,1760
